autor,link,descricao,enviado,estrelas
"Marcelo Roberto Gomes Barbosa","https://github.com/MarogobaCTD/Gemini/blob/main/Projeto_Imersao.ipynb","A idéia era criar um chat que seria possível fazer upload e download de arquivo e depois esses poderiam ser usados para realizar atividades no chat","Sun, 12 May 2024 13:07:00 GMT","2"
"José Justino da Silva Filho","https://github.com/josejustinos/projeto_alura/blob/main/Ler_pdf.ipynb","O projeto consiste em fazer a leitura de um EDITAL (arquivo tipo pdf) e encontrar determinado conteúdo. Pode ser ser usado para encontrar concurso público, vagas, licitação, etc. Claro que com algumas adaptações. Aqui usaremos para procurar vagas de concursos públicos. A ideia que eu tive é para automatizar o processo, mas por conta do tempo baixa-se o arquivo de uma cidade qualquer e procura se a mesma possui algum concurso público em aberto.","Sun, 12 May 2024 13:08:00 GMT","2"
"Nayan Becker","https://github.com/NayanBecker/Projeto.ImersaoIA_Comunica_AI","Comunica_AI é uma plataforma para Aperfeiçoar sua comunicação. A ideia é simples: você manda um vídeo, a gente dá uma olhada e te dá um feedback sincero. Repetições, tom de voz, gestos - a gente pega tudo. E não é só criticar, não! A gente também tá aqui pra dar aquela força, aquelas dicas que fazem toda diferença. Porque comunicar vai muito além de só falar. É sobre se conectar, inspirar, e a gente quer te ajudar a mandar bem nisso. Então, se precisar de uma mãozinha pra brilhar nos palcos da vida, o Comunica_AI tá aqui pra isso!","Sun, 12 May 2024 13:09:00 GMT","5"
"Pedro Mello Morais","https://github.com/pmor4is/google-ai-studio-api","Um programa para indicar filmes para o usuário, através de perguntas pré-definidas. O projeto explicado esta no README.md e o projeto em si está em film-indicator.py","Sun, 12 May 2024 13:09:00 GMT","1"
"Mac-Swell Santos","https://github.com/macswellsantos/Serie-AI","O Séries-AI é uma ferramenta Python desenvolvida para simplificar a busca de informações em episódios de séries de TV. Utilizando uma variedade de bibliotecas populares, como Pandas, Numpy e Requests, juntamente com as poderosas APIs do Google Gemini e do The Movie DB, este projeto oferece uma experiência completa para os amantes de séries.","Sun, 12 May 2024 13:10:00 GMT","3"
"Luiz Rodolpho","https://github.com/LuizRodolpho/chatbot-info-alunos","Este programa Python usa um chatbot para interpretar dados de alunos de um arquivo JSON. Oferece informações detalhadas, como nome, idade e curso, por meio de interações com o usuário-chatbot.","Sun, 12 May 2024 13:10:00 GMT","2"
"Sarah Campos","https://github.com/sarahfoi/birthday-bot","Nunca mais perca um aniversário!  Birthday Bot é um bot que envia mensagens de parabéns para seus contatos no WhatsApp. Esse é um projeto desenvolvido para a Imersão Inteligência Artificial da Alura e do Google. Inspirado pelos meus dois neurônios, que não conseguem se lembrar de datas de aniversário.  Cadastre seus contatos favoritos, o bot irá enviar mensagens de aniversário personalizadas geradas pelo Gemini direto no WhatsApp. Defina o tom da mensagem e o grau de proximidade para que o Gemini gere a mensagem perfeita!","Sun, 12 May 2024 13:12:00 GMT","2"
"Francisco Vargas","https://github.com/Franciscov25/OrganizAI","OrganizAI: Sua inteligência artificial para organização.","Sun, 12 May 2024 13:13:00 GMT","1"
"Alelí Reis Tello","https://github.com/alelirt/imersao_ia_gemini/tree/main","O objetivo deste projeto é a criação de uma proposta que auxilie nos estudos sobre o tema das diretrizes de acessibilidade da WCAG, por meio da interatividade com exercícios propostos pela IA do Gemini, combinado com a experiência de conversar com um chatbot. A WCAG (Web Content Accessibility Guidelines) é um conjunto de diretrizes internacionais que definem os padrões de acessibilidade para conteúdo da web e garantir que ela seja acessível a todos.","Sun, 12 May 2024 13:14:00 GMT","1"
"Mauricio Maron Mendes","https://github.com/mmaronbr/alura-imersao-ia.git","O OrganizaMail utiliza algoritmos avançados de aprendizado de máquina para analisar o conteúdo, o remetente e outros metadados dos seus e-mails. Com base nessa análise, nosso assistente classifica automaticamente seus e-mails em categorias relevantes, como trabalho, pessoal, promoções e muito mais. Além disso, você pode personalizar as configurações de organização e definir regras específicas para atender às suas necessidades exclusivas.","Sun, 12 May 2024 13:15:00 GMT","1"
"Járbio Mulhovo","https://github.com/Jarbioh/ProjetoIA_Alura_Google/blob/main/J%C3%A1rbio_ART.ipynb","Este projeto no Google Colab permite gerar capas de música personalizadas usando modelos de aprendizado de máquina e processamento de imagens.","Sun, 12 May 2024 13:15:00 GMT","1"
"Luiz Felipe Nobre da Silva","https://github.com/LipeLiposo/Chatbot_para_Agendamento_e_Atendimentos/tree/main","O projeto visa criar um Chatbot integrado ao WhatsApp com modelo de IA Gemini integrado, que auxilia profissionais autônomos atenderem aos clientes com respostas em linguagem natural, e a organizar suas agendas de forma automatizada.","Sun, 12 May 2024 13:15:00 GMT","2"
"Caio dos Santos Nascimento","https://github.com/Caiogamer205/Meu_Primeiro_ChatBot/tree/main","Esse é o meu primeiro chatbot, e eu peguei referencia da aula 4, e o objetivo dele é fazer perguntas referentes aos produtos da empresa. Para que ele faça analise dos produtos da empresa e apontar os pontos desses produtos.","Sun, 12 May 2024 13:16:00 GMT","1"
"Luiz Henrique","https://github.com/luizhc06","O projeto é voltado para pessoas leigas em computadores, que desejam montar seus próprios sistemas de forma fácil e rápida. A ideia é que a IA sugira um orçamento com base no uso pretendido do PC e nas preferências de componentes, facilitando a montagem do computador. O projeto envolve: Orçamento Máximo, Uso Pretendido, Preferências de Peças.","Sun, 12 May 2024 13:16:00 GMT","2"
"Paulo Gonçalves","https://github.com/pcgoncalves42/curriculumvitai","um aplicativo Flutter que utiliza inteligência artificial para gerar seu currículo através de áudio.","Sun, 12 May 2024 13:16:00 GMT","1"
"André Luís Rodovalho Bezerra","https://github.com/andrelrb/Projeto_desafio_Imersao_IA/","O AbrigoBot é um chatbot em Python que usa a inteligência artificial do Google Gemini para ajudar pessoas a encontrar abrigos no Rio Grande do Sul. O chatbot recebe a cidade e o bairro do usuário e, consultando um banco de dados externo, informa sobre a localização de abrigos na região, incluindo detalhes sobre os serviços oferecidos, como alimentação e água. Com uma interface simples e interativa, o AbrigoBot facilita o acesso à informação e oferece suporte àqueles que buscam abrigo no estado.","Sun, 12 May 2024 13:17:00 GMT","3"
"Tales Câmara","https://github.com/TalesCamaraML/LLM_to_help_RS_Brazil","O Reforço na Tempestade: Chatbot de Apoio às Vítimas do Desastre Climático no RS (Brasil, maio 2024) é uma aplicação desenvolvida em resposta às necessidades urgentes decorrentes das intensas chuvas e enchentes que assolaram o Rio Grande do Sul em abril de 2024.Diante da rápida evolução da situação e da necessidade de assistência imediata, a aplicação foi concebida com o propósito específico de oferecer apoio e recursos às vítimas do desastre climático. Seu objetivo principal é fornecer informações importantes de como lidar com a situação: conectar pessoas a recursos essenciais, como abrigos e serviços de emergência, e auxiliar na recuperação das áreas afetadas. A motivação por trás da criação deste chatbot é oferecer uma ferramenta prática e acessível que possa atender às necessidades da comunidade durante um período de crise, demonstrando assim a capacidade da tecnologia em desempenhar um papel crucial na assistência humanitária e na promoção da resiliência em momentos de adversidade.","Sun, 12 May 2024 13:17:00 GMT","2"
"Lucas Pinhal Landim","https://github.com/lucasplandim/imersao_ai/blob/ef14fb25149083de6fca72f005aaf1d5d9cd8893/Projeto_ai_imers%C3%A3o.ipynb","IAi, Vai Apostar? - Seu guia para apostas vencedoras! Este projeto tem como objetivo auxiliar as pessoas em suas apostas esportivas. Elas irão informar o confronto desejado e o modelo irá trazer detalhes e estatísticas deste confronto. Além disso, o usuário poderá ter mais detalhes do confronto em questão como, por exemplo, saber quem é o maior goleador de cada time, qual o retrospecto do time jogando em casa, assim por diante. IAi, Vai Apostar? ;)","Sun, 12 May 2024 13:17:00 GMT","2"
"Carlos Eduardo Do Nascimento Vieira","https://github.com/studantprogramat/C-digo---Aula-04/blob/main/C%C3%B3digo_Aula_04.ipynb","Este modelo de chat em Python utiliza a poderosa API Google Generative AI para oferecer uma experiência de conversação interativa e informativa.","Sun, 12 May 2024 13:19:00 GMT","1"
"Henrique Gonçalves da Silva","https://github.com/henrique212g/Projeto_IA_HenriqueGS","Histórias e meio ambiente: como podemos aprender brincando e exercitando a criatividade Neste projeto, o modelo do GEMINI e uma criança (7 a 12 anos) exploram juntos os segredos do meio ambiente. Através de uma história interativa criança-modelo, ela aprende sobre ecossistemas, animais, plantas e sustentabilidade. Não importa o tema da história proposta pela criança! Ela falará do seu tema e o GEMINI a levará a aprender algo do fascinante meio ambiente e no final a criança terá uma história completa, cocriada por ela mesma. Aprender brincando com criatividade e ainda com orgulho de ser coautora da própria aprendizagem. Sejam bem-vindos a IA generativa focada no futuro!","Sun, 12 May 2024 13:19:00 GMT","1"
"Mateus Carvalho da Silva","https://github.com/Bot-Mateus/zapgemini","Este projeto visa integrar a inteligência artificial Gemini ao WhatsApp do usuário comum, permitindo aos usuários fazerem perguntas de forma simples e receberem respostas rápidas e precisas da IA. Resumindo, sua tia pode usar o Gemini para pedir uma receita de bolo ou uma ajuda com a mensagem de bom dia usando apenas o WhatsApp. O objetivo é usar uma plataforma altamente usada e conhecida para democratizar o uso da IA. Facilitem o acesso do Gemini para seus avós e tios que têm dificuldades com essas coisas de tecnologia, basta seguir esses passos. ","Sun, 12 May 2024 13:21:00 GMT","1"
"André Torres","https://github.com/DedecoDev/imersao_proj/tree/imersao_ia","Projeto de um raspador de noticias em Python que tem a função de responder tambem perguntas referentes a política. A idéia é trazer um facilitador para os jornalistas, onde jornais selecionados são raspados para trazer as ultimas noticias pertinentes ao tema. Um projeto resposivo, desenvolvido usando Visual Studio, Bibliotecas Bootstrap, Python, Css, Javascript e HTML. Gostaria de ter feito os arquivos flask do raspador e do gemini rodarem juntos, mas não foi possivel como planejado, porem é um projeto pessoal que continuarei nmelhorando, mudando e buscando ter um resultado ainda melhor. O projeto tem como caracteristica : Raspar e exibir as últimas notícias dos principais sites do Brasil, campo de Busca para encontrar por palavras chaves as ultimas noticias raspadas, campo de pergunta com filtro de palavras relacionadas a politica que retonar respostas usando a inteligencia do Gemini.","Sun, 12 May 2024 13:21:00 GMT","2"
"Pedro Henrique Dias Bragança Domingos","https://github.com/PedroHDBD/CashAI","O projeto consiste num site onde o usuário adiciona informações sobre suas despesas como nome da despesa, custo, tipo de despesa e descrição. Com isso, a inteligência artificial do Google vai analisar os gastos do usuário, fazer um resumo sobre eles e oferecer breves dicas de como reduzir tais custos.","Sun, 12 May 2024 12:18:00 GMT","4"
"Lucas Martins Oliveira","https://github.com/lucasmartinso/CineAlura-back","CINE ALURA ​ Cine Alura poupa tempo e estresse- quem nunca passou vários e mais vários minutos tentando escolher um filme/série? e no final ainda se estressou ou até se frustou com a escolha... O Cine Alura é uma solução de IA para aquele momento que você vai assistir um filminho ou uma série com amigos, família, namorado(a), que vai te poupar tempo e estresse do momento da escolha do filme/série, que, muitas vezes, gera aquele desgaste desnecessário. Essa IA tem como objetivo desmistificar essa escolha, seja sugerindo aquele filme que ainda está em cartaz no cinema, que a pessoa nem sabia, ou um filme/série que está em plataformas de Streaming como Netflix, HBO Max, Star Plus, etc, sem que a pessoa tenha que acessar vários Streamings simultaneamente e ver os filmes/séries disponíveis em cada um deles. Link do Deploy do Front-end: https://cine-alura-ten.vercel.app/","Sun, 12 May 2024 12:18:00 GMT","2"
"Felipe Tavares da Silva Oliveira","https://github.com/Felipe-Tavares-da-Silva-Oliveira/imersao_alura_google_avaliacao_aula4/blob/9860b27201cbe74241d5ab6e1ae5495d36d7b012/Assistente_de_Acessibilidade_para_Mulheres.ipynb","Recentemente tive próximo a minha familia diversos casos de mulheres que passaram por processos e tipos de endometrioses diferentes. o que é : endometriose é uma doença ginecológica que ocorre quando o endométrio, o tecido que reveste o interior do útero, cresce fora da cavidade uterina, principalmente na região pélvica. O endométrio cresce durante o ciclo menstrual, em resposta aos hormônios do ovário, e descama durante a menstruação. Na endometriose, o endométrio não é expelido durante a menstruação e, em vez disso, move-se em sentido contrário e cai nos ovários ou na cavidade abdominal, onde volta a multiplicar-se e sangrar. É um processo que impede muitas mulheres de terem filhos, ainda mais hoje com casais tendo filhos cada vez mais tarde. Minha esposa, frequente-mente conversando com outras mulheres de idades diferentes, vem percebendo que mesmo com tanta informação essas mulheres adolecentes ou não, continuam desinformadas, muitas vezes por vergonha e com o diagnóstico cada vez mais tardio. Esse V1","Sun, 12 May 2024 12:18:00 GMT","2"
"Camila Cecília Vlasich de Almeida Namour","https://github.com/camilanamour/GuiaTuristicoIA","O sistema se comporta como um guia turístico.","Sun, 12 May 2024 12:21:00 GMT","3"
"Thiago Manata Michaelsen","https://github.com/TMMichaelsen/AI_Chatbot","Motivação: A OGE é responsável pelo acolhimento de manifestações referentes ao serviços públicos prestados pelo Governo do Estado de Minas Gerais. Entretanto, o órgão recebe diariamente um alto volume de manifestações que não são de sua competência, tais como assuntos pertinentes à entes Municipais, Federais, órgãos privados ou empresas que não se subordinam ao Poder Executivo Estadual. Em números, no ano de 2023, 6% das manifestações recebidas pela OGE foram classificadas como competências diversas. Tais manifestações direcionadas incorretamente à OGE não somente demandam tempo de análise pelos servidores públicos, elevando o tempo médio de resposta de todas as manifestações tratadas, como também gera frustração ao cidadão, que registra sua manifestação no órgão para receber apenas posteriormente a indicação do canal correto para submissão. Desta forma, a criação de um chatbot com capacidade de análise prévia da demanda do cidadão, indicando não somente o órgão de competência como a Ouvidoria Temática resp","Sun, 12 May 2024 12:21:00 GMT","4"
"Elisângela","https://github.com/Elisangela-A/Projeto_ImersaoIA","Inspirit - nome dado ao projeto de chatbot, tem o intuito de ser algo que ajuda a motivar e inspirar como já diz o seu nome, no momento ele só trata da área de TI (pensei em mim mesma de início que sou o tipo de pessoa que não acredita na própria capacidade de fazer algo. foi assim que surgiu a ideia.) mas ele também pode abranger outras áreas se melhor desenvolvido, infelizmente não está 100% pronto para a entrega mas não queria deixar de entregar a tempo","Sun, 12 May 2024 12:21:00 GMT","3"
"Lukas Gabriel da Silva Godoy","https://github.com/Coltling/My_first_Project_Alura","É um buscador de livros, ele utiliza a inteligência artificial do Google para encontrar o nome correto do livro e do autor, mesmo se você escrever errado ou se não se lembrar exatamente qual era o nome do livro.","Sun, 12 May 2024 12:21:00 GMT","2"
"Michael da Silva Bressiani","https://github.com/michaelbressiani/the_gemini_of_fighters.git","Prepare-se para entrar no mundo emocionante de The Gemini of Fighters! Inspirado na revolucionária tecnologia LLM Gemini do Google, este jogo oferece uma experiência de combate única. Escolha seu guerreiro entre uma variedade de personagens, cada um com habilidades e atributos únicos, todos determinados pelo poderoso Gemini. Cada batalha é uma prova de estratégia e habilidade, onde a escolha dos golpes - socos, chutes, cotoveladas e mais - é crucial. Estas escolhas são baseadas em parâmetros como força, velocidade e agilidade, os quais determinam a probabilidade de cada golpe ter efeito. Com o destino na balança, você precisará calcular suas ações cuidadosamente. Cada movimento pode alterar drasticamente o curso da batalha. No final, o vencedor será aquele que alcançar o melhor valor esperado (ou esperança matematica), combinando precisão, astúcia e destreza. Desafie-se em emocionantes duelos contra adversários habilidosos e descubra se você tem o que é preciso para emergir como o grande campeão. Prepare-","Sun, 12 May 2024 12:22:00 GMT","1"
"Francisco de Paulo Zitelli Júnior","https://github.com/zitelli/Imersao_GeminiAI","Gerenciador de Senha pelo GeminiAI","Sun, 12 May 2024 12:22:00 GMT","2"
"Rodolfo Harley Santana","https://github.com/rodolfoharley/Imersao_IA_Aula_04_Projeto_V1_0.git","Aprenda Inglês com Google Generative AI","Sun, 12 May 2024 12:22:00 GMT","3"
"LIBRADO SEVERINO DE AQUINO FILHO","https://github.com/LibradoAquino/-Curr-culo-em-Python","Currículo - Python","Sun, 12 May 2024 12:23:00 GMT","1"
"RENATO SILVA DE LIMA","https://github.com/Renatocslima/Projeto_Imersao_Inteligencia_Artificial/tree/main","Projeto que se conecta ao GEMINEAI e ao letterboxd para tentar adivinhar um filme pela descrição e responde com o nome, uma sinopse sessão da tarde e dicas de filmes parecidos","Sun, 12 May 2024 12:23:00 GMT","3"
"Raquel C Bosnardo","https://github.com/raqcrisb/Project_Aula05_raqcrisb","Com base no perfil descrito pelo usuário, o sistema irá indicar o tipo de bike que melhor combina com o estilo deste usuário.","Sun, 12 May 2024 12:26:00 GMT","2"
"Samuel Wagner Tiburi Silveira","https://github.com/samsilveira/evobot-ia","Imagine ter um mentor digital dedicado a te guiar no labirinto do ENEM! Essa é a missão do EvoBot, um chatbot inteligente que analisa suas notas, identifica seus pontos fortes e fracos e te dá dicas personalizadas para mandar bem no exame. Mas estamos apenas começando! No passo para a próxima melhoria, com uma equipe de professores especializada no exame, o EvoBot será turbinado com microdados do ENEM, desvendando os segredos da TRI, mapeando as competências exigidas em cada questão e te ajudando a dominar a redação com análises detalhadas e exemplos de sucesso. EvoBot: sua jornada rumo à aprovação começa aqui! ","Sun, 12 May 2024 12:26:00 GMT","4"
"Rilson Joás","https://github.com/rilsonjoas/Clarice","Libere a Clarice Lispector que existe em você!  Com a nossa IA inovadora, você gera frases únicas da Clarice Lispector baseadas no seu humor do momento. Seja raiva, alegria, tristeza ou pura filosofia, a Clarice vai te representar com maestria e vai expressar de modo completo como você se sente nas suas redes sociais, sem perder aquele ar de intelectualidade e brasilidade.","Sun, 12 May 2024 12:27:00 GMT","3"
"Vinicius Cantanhede dos Santos","https://github.com/ViniciusCantanhede/Chatbot_Gemini","O chatbot a seguir consegue fazer um análise sobre qualquer tópico de interesse do usuário e repassar boas notícias sobre ele.","Sun, 12 May 2024 12:27:00 GMT","1"
